City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,porto murtinho,-21.6989,-57.8825,305.22,35,100,1.89,BR,1696302129
292,al hasakah,36.5024,40.7477,294.94,51,99,0.84,SY,1696302201
293,katsuren-haebaru,26.3369,127.8719,306.36,74,75,6.69,JP,1696302201
294,feres,40.8956,26.17,287.84,67,20,2.57,GR,1696302202
295,akureyri,65.6835,-18.0878,277.11,81,100,4.63,IS,1696302126
296,viqueque,-8.8673,126.3658,304.28,53,0,3.79,TL,1696302202
297,grantsville,40.5999,-112.4644,282.95,77,100,1.5,US,1696302202
298,dalandzadgad,43.5708,104.425,284.02,44,6,4.22,MN,1696302139
299,kodiak,57.79,-152.4072,279.29,56,2,9.06,US,1696302140
300,ta`u,-14.2336,-169.5144,299.94,81,39,9.57,AS,1696302202
301,kitami,43.8031,143.8908,289.85,74,76,6.82,JP,1696302151
302,peace river,56.2501,-117.286,283.32,71,75,1.54,CA,1696302020
303,vilyuysk,63.7553,121.6247,272.59,77,32,2.24,RU,1696302202
304,kapenguria,1.2511,35.0895,286.96,77,66,2.11,KE,1696302202
305,guozhen,34.3659,107.359,290.35,80,100,0.02,CN,1696302202
306,villa gesell,-37.2639,-56.973,283.74,92,100,2.62,AR,1696302202
307,vorgashor,67.5833,63.95,273.79,81,70,7.74,RU,1696302123
308,sabanitas,9.3422,-79.8011,300.2,92,100,1.62,PA,1696302202
309,djambala,-2.5447,14.7533,293.74,95,38,1.81,CG,1696302144
310,belmonte,-15.8631,-38.8828,297.83,87,96,4.68,BR,1696302202
311,tidjikja,18.5564,-11.4271,303.99,16,73,2.64,MR,1696302202
312,san patricio,28.017,-97.5169,302.5,82,2,5.68,US,1696302157
313,carnarvon,-24.8667,113.6333,294.21,36,0,9.45,AU,1696301898
314,isla del bosque,22.7333,-105.85,301.31,80,25,1.82,MX,1696302203
315,arno,60.1167,18.6333,284.7,95,93,3.9,SE,1696302203
316,shakawe,-18.3667,21.85,295.25,41,8,3.17,BW,1696302136
317,havre,49.5833,0.3333,292.02,82,100,7.72,FR,1696302152
318,marte,12.3611,13.8246,299.62,63,95,4.9,NG,1696302203
319,hawaiian paradise park,19.5933,-154.9731,299.19,86,85,3.26,US,1696302148
320,amravati,20.9333,77.75,299.09,63,16,3.8,IN,1696302174
321,karratha,-20.7377,116.8463,305.16,22,54,6.24,AU,1696301898
322,okhotsk,59.3833,143.3,282.66,52,5,3.92,RU,1696302145
323,valparaiso,-33.0393,-71.6273,285.95,62,75,3.09,CL,1696302010
324,cockburn town,21.4612,-71.1419,301.84,76,47,6.26,TC,1696301883
325,arraial do cabo,-22.9661,-42.0278,293.73,88,100,1.29,BR,1696302142
326,maua,-23.6678,-46.4614,291.13,95,100,1.81,BR,1696302102
327,baker city,44.7749,-117.8344,283.99,89,100,0.0,US,1696302203
328,alexander city,32.944,-85.9539,295.09,83,0,0.0,US,1696302203
329,gaspe,48.8334,-64.4819,285.1,93,100,1.03,CA,1696302035
330,flagstaff,35.1981,-111.6513,285.96,75,100,3.09,US,1696302011
331,mosfellsbaer,64.1667,-21.7,279.16,75,75,1.03,IS,1696302203
332,eschwege,51.1833,10.0667,291.21,69,92,2.94,DE,1696302204
333,constitucion,-35.3333,-72.4167,284.34,86,22,6.41,CL,1696302023
334,saint-francois,46.4154,3.9054,284.84,94,0,1.03,FR,1696302204
335,al jawf,29.5,38.75,296.11,43,100,2.54,SA,1696302159
336,nelson bay,-32.7167,152.15,307.18,58,0,6.26,AU,1696302141
337,ludres,48.6218,6.1618,292.4,66,0,6.69,FR,1696302204
338,riosucio,5.4216,-75.7032,287.04,98,100,0.78,CO,1696302204
339,hadibu,12.65,54.0333,299.77,82,17,1.9,YE,1696302153
340,qeshm,26.9581,56.2719,300.09,62,0,0.68,IR,1696302160
341,nyagan,62.1406,65.3936,283.38,79,42,2.87,RU,1696302204
342,tezu,27.9167,96.1667,302.61,74,53,1.17,IN,1696302204
343,holualoa,19.6228,-155.9522,299.14,78,88,1.34,US,1696302128
344,kingston,17.997,-76.7936,300.68,93,20,2.06,JM,1696301994
345,pahasu,28.1833,78.05,299.36,31,1,2.81,IN,1696302204
346,labytnangi,66.6572,66.4183,275.4,71,13,6.81,RU,1696302138
347,cannonvale,-20.2833,148.7,297.81,69,18,5.25,AU,1696302204
348,akjoujt,19.6969,-14.4164,305.45,13,1,3.18,MR,1696302204
349,kuanda,56.3161,116.0806,275.25,55,96,1.82,RU,1696302167
350,sao tome,0.3365,6.7273,298.92,87,100,4.83,ST,1696302205
351,mwinilunga,-11.7358,24.4293,293.79,42,50,4.38,ZM,1696302205
352,el calafate,-50.3408,-72.2768,278.07,78,6,3.08,AR,1696302205
353,zhanjiang,21.2815,110.3427,303.46,71,83,3.54,CN,1696302205
354,inarajan village,13.2736,144.7484,305.69,87,98,6.57,GU,1696302205
355,sparti,37.0733,22.4297,292.57,65,1,1.93,GR,1696302205
356,walvis bay,-22.9575,14.5053,285.98,100,6,1.03,NA,1696302166
357,bodaybo,57.8506,114.1933,275.94,66,98,2.73,RU,1696302168
358,trinidad,-14.8333,-64.9,304.18,48,29,2.67,BO,1696302024
359,mogadishu,2.0371,45.3438,298.36,93,23,3.99,SO,1696302019
360,salym,60.0625,71.4789,283.28,87,95,3.89,RU,1696302205
361,tortoli,39.9256,9.6572,294.46,43,1,1.37,IT,1696302206
362,kayangel,8.0823,134.7173,302.02,71,44,3.31,PW,1696302153
